lzop,1.03,1.03-4,
m4,1.4.18,1.4.18-1,
m4-native,1.4.18,,
make,4.2.1,4.2.1-1.2,make-dfsg
makedepend,1:1.0.5,1:7.7+5,xutils-dev
makedevs,1.0.1,,
man-pages,4.11,4.16-1,manpages
matchbox-config-gtk,0.2,,
matchbox-desktop,2.2,2.0-5,
matchbox-keyboard,0.1.1,0.1+svn20080916-11,
matchbox-panel-2,2.11,,
matchbox-session,0.1,,
matchbox-session-sato,0.1,,
matchbox-terminal,0.1,,
matchbox-theme-sato,0.2,,
matchbox-wm,1.2.2,,
mc,4.8.19,3:4.8.21-1,
mdadm,4.0,4.1~rc1-4,
menu-cache,1.0.2,1.1.0-1,
mesa,2:17.1.7,18.1.7-1,
mesa-demos,8.3.0,8.4.0-1,
mesa-gl,(skipped),,
meta-environment-extsdk-qemuarm,1.0,,
meta-environment-qemuarm,1.0,,
meta-extsdk-toolchain,1.0,,
meta-go-toolchain,1.0,,
meta-ide-support,1.0,,
meta-toolchain,1.0,,
meta-world-pkgdata,1.0,,
mingetty,1.08,1.08-2,
mini-x-session,0.1,,
minicom,2.7.1,2.7.1-1,
mkfontdir,1:1.0.7,,
mkfontscale,1.1.2,,
mklibs-native,0.1.43,,
mktemp,1.7,,
mmc-utils,0.1,0+git20180327.b4fe0c8c-1,
mobile-broadband-provider-info,1:20170310,20170903-1,
modutils-initscripts,1.0,,
mpeg2dec,(skipped),0.5.1-8,
mpfr,3.1.5,4.0.1-1,mpfr4
mpg123,(skipped),1.25.10-2,
msmtp,1.6.6,1.6.7-1,
mtd-utils,2.0.0,1:2.0.1-1,
mtdev,1.1.5,1.1.5-1,
mtools,4.0.18,4.0.18-2.1,
musl,(skipped),1.1.20-1,
mx-1.0,1.4.7+gitAUTOINC+9b1db6b806,,
nasm,2.13.01,2.13.03-2,
nativesdk-buildtools-perl-dummy,1.0,,
nativesdk-buildtools-perl-dummy,1.0,,
nativesdk-libtool,2.4.6,,
nativesdk-packagegroup-sdk-host,1.0,,
nativesdk-qemu-helper,1.0,,
nativesdk-qemu-helper,1.0,,
nativesdk-syslinux,(skipped),,
ncurses,6.0+20171125,6.1+20180714-1,
neard,0.16,0.16-0.1,
net-tools,1.60-26,1.60+git20180626.aebd88e-1,
netbase,1:5.4,5.4,
nettle,3.3,3.4-1,
nfs-export-root,1.0,,
nfs-utils,2.1.1,1:1.3.4-2.2,
ninja,1.7.2,1.8.2-1,ninja-build
npth,1.5,1.6-1,
nspr,4.16,2:4.20-1,
nss,3.31.1,2:3.39-1,
nss-myhostname,0.3,,
ofono,1.20,1.21-1,
openssh,7.5p1,1:7.8p1-1,
openssl,1.0.2o,1.1.0h-4,
opkg,1:0.3.5,,
opkg-arch-config,1.0,,
opkg-keyrings,1.0,,
opkg-utils,0.3.5,,
orc,0.4.27,1:0.4.28-3,
os-release,1.0,,
ossp-uuid,1.6.2,1.6.2-1.5,
ovmf,(skipped),0~20180803.dd4cae4d-1,edk2
ovmf-shell-image,1.0,,
p11-kit,0.22.1,0.23.14-2,
package-index,1.0,,
packagegroup-base,1.0,,
packagegroup-core-boot,1.0,,
packagegroup-core-buildessential,1.0,,
packagegroup-core-clutter,1.0,,
packagegroup-core-device-devel,1.0,,
packagegroup-core-eclipse-debug,1.0,,
packagegroup-core-full-cmdline,1.0,,
packagegroup-core-lsb,1.0,,
packagegroup-core-nfs,1.0,,
packagegroup-core-sdk,1.0,,
packagegroup-core-ssh-dropbear,1.0,,
packagegroup-core-ssh-openssh,1.0,,
packagegroup-core-standalone-sdk-target,1.0,,
packagegroup-core-tools-debug,1.0,,
packagegroup-core-tools-profile,1.0,,
packagegroup-core-tools-testapps,1.0,,
packagegroup-core-x11,1.0,,
packagegroup-core-x11-base,1.0,,
packagegroup-core-x11-sato,1.0,,
packagegroup-core-x11-xserver,1.0,,
packagegroup-cross-canadian-qemuarm,1.0,,
packagegroup-go-cross-canadian-qemuarm,1.0,,
packagegroup-go-sdk-target,1.0,,
packagegroup-self-hosted,1.0,,
pango,1.40.6,1.42.4-2,pango1.0
parted,3.2,3.2-22,
patch,2.7.6,2.7.6-3,
patchelf,0.9,0.9-1,
pax-utils,1.2.2,1.2.3-2,
pbzip2,1.1.13,1.1.9-1,
pciutils,3.5.5,1:3.5.2-1,
pcmanfm,1.2.5,1.3.0-1,
pcmciautils,018,018-9,
perf,1.0,,
perl,5.24.1,5.26.2-7,
perl-native,5.24.1,,
piglit,1.0+gitrAUTOINC+c8f4fd9eeb,0~git20180515-62ef6b0db-1,
pigz,2.3.4,2.4-1,
pinentry,1.0.0,1.1.0-1,
pixman,1:0.34.0,0.34.0-2,
pixz,1.0.6,1.0.6-2,
pkgconf,1.3.7,1.4.2-2,
pkgconfig,0.29.2+gitAUTOINC+edf8e6f0ea,0.29-4,pkg-config
pm-utils,1.4.1,1.4.1-18,
pointercal-xinput,0.0,,
pong-clock,1.0,,
popt,1.16,1.16-11,
powertop,2.8,2.8-1,
ppp,2.4.7,2.4.7-2+3,
ppp-dialin,0.1,,
prelink,1.0+gitAUTOINC+ef20628dd7,0.0.20131005-1,
presentproto,1.1+gitAUTOINC+bfdc7e0523,2018.4-4,xorgproto
procps,3.3.12,2:3.3.15-2,
pseudo,1.8.2,1.8.1+git20161012-2,
psmisc,22.21,23.2-1,
psplash,0.1+gitAUTOINC+2015f7073e,,
ptest-runner,2.1+gitAUTOINC+8a93832dad,,
pulseaudio,10.0,12.2-2,
pulseaudio-client-conf-sato,1,,
puzzles,1:0.0+gitAUTOINC+8dfe5cec31,,
python,2.7.14,2.7.15-3,python2.7
python-native,2.7.14,,
python-nose,1.3.7,1.3.7-4,nose
python-numpy,1.13.1,1:1.14.5-1,
python-scons,2.5.1,3.0.1-1,scons
python-scons-native,2.5.1,,
python-setuptools,36.2.7,40.2.0-1,
python3,3.5.3,3.7.0-5,python3.7
python3-async,0.6.2,0.6.2-2,python-async
python3-dbus,1.2.4,1.2.8-2 ,dbus-python
python3-docutils,0.14,0.14+dfsg-3,python-docutils
python3-git,2.1.5,2.1.11-1,python-git
python3-gitdb,0.6.4,0.4-2.2,python-gitdb
python3-iniparse,0.4,0.4-2.2,python-iniparse
python3-mako,1.0.7,1.0.7+ds1-1,mako
python3-native,3.5.3,,
python3-nose,1.3.7,1.3.7-4,nose
python3-numpy,1.13.1,1:1.14.5-1,python-numpy
python3-pip,9.0.1,9.0.1-2.3,python-pip
python3-pycairo,1.10.0,1.16.2-1,pycairo
python3-pygobject,3.24.1,3.28.3-1,pygobject
python3-setuptools,36.2.7,39.2.0-1,python-setuptools
python3-six,1.10.0,1.11.0-2,six
python3-smmap,0.9.0,2.0.4-1,python-smmap
qemu,2.10.0,1:2.12+dfsg-3,
qemu-helper-native,1.0,,
qemuwrapper-cross,1.0,,
quilt,0.65,0.65-2,
quilt-native,0.65,,
quota,4.03,4.04-2,
randrproto,1:1.5.0,2018.4-4,xorgproto
re2c,0.16,1.1.1-1,
readline,7.0,7.0-5,
recordproto,1:1.14.2,2018.4-4,xorgproto
renderproto,1:0.11.1,2018.4-4,xorgproto
resolvconf,1.79,1.79,
resourceproto,1:1.2.0,2018.4-4,xorgproto
rgb,1:1.0.6,,
rng-tools,5,2-unofficial-mt.14-1,
rpcbind,0.2.4,0.2.3-0.6,
rpm,1:4.13.90+gitAUTOINC+a8e51b3bb0,4.14.1+dfsg1-4,
rsync,3.1.3,3.1.2-2.2,
rt-tests,1:1.1,1.0-3,
ruby,2.4.4,2.5.1-5,ruby2.5
run-postinsts,1.0,,
rxvt-unicode,9.22,9.22-4,
sato-screenshot,0.3,,
sbc,1.3,1.3-3,
screen,4.6.1,4.6.2-3,
scrnsaverproto,1:1.2.2,2018.4-4,xorgproto
sed,4.2.2,4.5-1,
serf,1.3.9,1.3.9-6,
setserial,2.17,2.17-50,
settings-daemon,0.0.2,,
shadow,4.2.1,1:4.5-1.1,
shadow-securetty,4.2.1,,shadow
shadow-sysroot,4.2.1,,shadow
shared-mime-info,1.8,1.10-1,
shutdown-desktop,1.0,,
signing-keys,1.0,,
slang,2.3.1a,,
socat,1.7.3.2,1.7.3.2-2,
source-highlight,3.1.8,3.1.8-1.2,
speex,1.2.0,1.2~rc1.2-1,
speexdsp,1.2rc3,,
sqlite3,3:3.20.0,3.25.2-1,
